ORDEN;PM;N_COMUN;N_CIENTIFICO;LC;HC
1;1;SANDE;brosimum utile;102,1017612;7,8
2;1;SANDE;brosimum utile;334,5796176;26
3;1;CALADE;Ocotea insularis;108,3849465;7,8
4;1;CALADE;Ocotea insularis;216,7698931;15,6
5;1;CALADE;Ocotea insularis;161,7920217;10,4
6;1;MASCAREY;Hyeronima alchorneoides ;142,9424657;7,8
7;1;MASCAREY;Hyeronima alchorneoides ;152,3672437;7,8
8;1;MASCAREY;Hyeronima alchorneoides ;180,6415776;13
9;1;MASCAREY;Hyeronima alchorneoides ;307,8760801;26
10;1;CUERO DE SAPO;Parinari romeroi;238,7610417;20,8
11;1;CUERO DE SAPO;Parinari romeroi;175,9291886;10,4
12;1;NAGUARE;SP2;180,6415776;13
13;1;NAGUARE;SP2;105,2433539;5,2
14;1;CEDRO;Cedrela odorata;199,4911335;15,6
15;1;MAMBLA;Erythrina poeppigiana;207,3451151;13
16;1;CHANUL;Humynastrum proserum;172,7875959;10,4
17;1;CHANUL;Humynastrum proserum;325,1548396;28,6
18;1;CHANUL;Humynastrum proserum;241,9026343;20,8
19;1;SANDE;brosimum utile;243,4734307;20,8
20;1;SANDE;brosimum utile;257,6105976;23,4
21;1;SANDALO;Myroxylon balsamum;95,81857593;5,2
22;1;SANDALO;Myroxylon balsamum;146,0840584;7,8
23;1;CHALVIANDE;Virola spp.;94,24777961;7,8
24;1;CHALVIANDE;Virola spp.;210,4867078;15,6
25;1;CHALVIANDE;Virola spp.;224,6238747;23,4
26;1;CAOBA;Platymiscium pinnatum;149,225651;10,4
27;1;CAOBA;Platymiscium pinnatum;186,9247629;10,4
28;1;CAOBA;Platymiscium pinnatum;194,7787445;13
29;1;CAOBA;Platymiscium pinnatum;100,5309649;5,2
30;1;CUANGARE;Otoba spp.;146,0840584;10,4
31;1;NAGUARE;SP2;146,0840584;5,2
32;1;NAGUARE;SP2;191,6371519;15,6
33;1;COPAL;trattinnickia aspera;260,7521902;20,8
34;1;COPAL;trattinnickia aspera;290,5973205;20,8
35;1;CUCHARILLO;Lomatia hirsuta;94,24777961;7,8
36;1;CUCHARILLO;Lomatia hirsuta;265,4645792;20,8
37;1;CAIMITILLO;Chrysophyllum amazonicum ;232,4778564;13
38;1;CAIMITILLO;Chrysophyllum amazonicum ;109,9557429;7,8
39;1;CAIMITILLO;Chrysophyllum amazonicum ;149,225651;10,4
40;1;ANIME;Dacryodes spp.;146,0840584;7,8
41;1;ANIME;Dacryodes spp.;174,3583923;13
42;1;ANIME;Dacryodes spp.;207,3451151;15,6
43;1;NAGUARE;SP2;274,8893572;20,8
1;2;CUANGARE;Otoba spp.;98,96016859;7,8
2;2;CUANGARE;Otoba spp.;149,225651;10,4
3;2;MASCAREY;Hyeronima alchorneoides ;146,0840584;7,8
4;2;MASCAREY;Hyeronima alchorneoides ;174,3583923;13
5;2;MASCAREY;Hyeronima alchorneoides ;210,4867078;15,6
6;2;MASCAREY;Hyeronima alchorneoides ;274,8893572;23,4
7;2;CUERO DE SAPO;Parinari romeroi;267,0353756;23,4
