"N_CIENTIFICO";"N_COMUN";"P_1";"P_2";"P_3";"FREC_ABS";"ABUN_ABS";"DOM_ABS";"FREC_REL";"ABUN_REL";"DOM_REL";"IVI300";"IVI_REAL"
"Apeiba aspera";"PEINE MONO";;"4";"2";2;6;1,93451421597825;3,17460317460317;2,44897959183673;2,34549679062153;7,96907955706144;2,65635985235381
"brosimum utile";"SANDE";"4";"25";"13";3;42;18,3797896445008;4,76190476190476;17,1428571428571;22,2845287294391;44,189290634201;14,7297635447337
"brownea herthae";"CLAVELLIN";;;"2";1;2;0,339645435798773;1,58730158730159;0,816326530612245;0,411802235949157;2,81543035386299;0,938476784620996
"Carapa guianensis";"TANGARE";;;"2";1;2;0,457298080529336;1,58730158730159;0,816326530612245;0,554449882755993;2,95807800066983;0,986026000223275
"Cedrela odorata";"CEDRO";"1";"2";;2;3;0,906722544624231;3,17460317460317;1,22448979591837;1,09935341949652;5,49844639001806;1,83281546333935
"Ceiba pentandra";"CEIBO";;;"1";1;1;0,650388219215573;1,58730158730159;0,408163265306122;0,788561525280273;2,78402637788798;0,928008792629327
"Chrysophyllum amazonicum ";"CAIMITILLO";"3";"3";"3";3;9;2,92778763856608;4,76190476190476;3,6734693877551;3,54978859972117;11,985162749381;3,99505424979368
"Clarisia racemosa";"MORAL BOBO";;;"1";1;1;0,0804247719081013;1,58730158730159;0,408163265306122;0,0975108080565489;2,09297566066426;0,697658553554753
"Dacryodes spp.";"ANIME";"3";"6";"8";3;17;5,68583109875643;4,76190476190476;6,93877551020408;6,89377130651142;18,5944515786203;6,19815052620676
"Erythrina poeppigiana";"MAMBLA";"1";"2";"1";3;4;1,29798827468371;4,76190476190476;1,63265306122449;1,57374254858887;7,96830037171812;2,65610012390604
"Ficus ssp";"MATAPALO";;"2";"3";2;5;2,82859185036317;3,17460317460317;2,04081632653061;3,42951892118824;8,64493842232203;2,88164614077401
"Genipa americana";"JAGUA";;;"2";1;2;0,508093706621606;1,58730158730159;0,816326530612245;0,616036909097272;3,0196650270111;1,0065550090037
"Humynastrum proserum";"CHANUL";"3";"8";"5";3;16;5,96971326461317;4,76190476190476;6,53061224489796;7,23796350909752;18,5304805159002;6,17682683863341
"Hyeronima alchorneoides ";"MASCAREY";"4";"8";"2";3;14;5,00703110180176;4,76190476190476;5,71428571428571;6,07076199431261;16,5469524705031;5,51565082350103
"Lomatia hirsuta";"CUCHARILLO";"2";"5";"6";3;13;4,47127174349833;4,76190476190476;5,30612244897959;5,42118193691784;15,4892091478022;5,16306971593406
"Minquartia guianensis";"GUAYACAN";;;"2";1;2;0,616105589295372;1,58730158730159;0,816326530612245;0,746995638719322;3,15062375663315;1,05020791887772
"Myroxylon balsamum";"SANDALO";"2";;;1;2;0,242884382042589;1,58730158730159;0,816326530612245;0,294484544940347;2,69811266285418;0,89937088761806
"Nectandra reticulata";"JIGUA";;;"1";1;1;0,159043128062017;1,58730158730159;0,408163265306122;0,19283143197334;2,18829628458105;0,72943209486035
"Ocotea insularis";"CALADE";"3";;;1;3;0,675717309906005;1,58730158730159;1,22448979591837;0,819271716207315;3,63106309942727;1,21035436647576
"Otoba spp.";"CUANGARE";"1";"4";"4";3;9;2,43498956086656;4,76190476190476;3,6734693877551;2,95229683660989;11,3876709862698;3,79589032875658
"Parinari romeroi";"CUERO DE SAPO";"2";"4";"1";3;7;2,15167680869385;4,76190476190476;2,85714285714286;2,60879501818194;10,2278426372296;3,40928087907652
"Persea rigens";"AMARILLO";;"3";"2";2;5;1,24874380988123;3,17460317460317;2,04081632653061;1,51403622376784;6,72945572490163;2,24315190830054
"Picus insipida";"HIGUERON";;;"1";1;1;0,508957644779369;1,58730158730159;0,408163265306122;0,617084388696849;2,61254924130456;0,87084974710152
"Platymiscium pinnatum";"CAOBA";"4";"4";"6";3;14;3,76457047697335;4,76190476190476;5,71428571428571;4,56434380211804;15,0405342783085;5,01351142610284
"Poulsenia armata";"DAMAGUA";;;"1";1;1;0,0829576809411445;1,58730158730159;0,408163265306122;0,100581827105605;2,09604667971331;0,698682226571105
"Pseudolmedia eggersii";"GUION";;;"1";1;1;0,152053084526254;1,58730158730159;0,408163265306122;0,184356371648624;2,17982122425633;0,726607074752111
"SP2";"NAGUARE";"5";"10";"7";3;22;6,70967614393826;4,76190476190476;8,97959183673469;8,13512960087443;21,8766261995139;7,2922087331713
"TOTAL";"TOTAL";"43";"105";"97";63;245;82,4778027287611;100;100;100;300;100
"trattinnickia aspera";"COPAL";"2";"4";"6";3;12;4,89334471772354;4,76190476190476;4,89795918367347;5,93292323004279;15,592787175621;5,19759572520701
"Trichospermum spp.";"PICHANGO";;;"1";1;1;0,601320468898829;1,58730158730159;0,408163265306122;0,729069457483426;2,72453431009114;0,908178103363712
"Virola spp.";"CHALVIANDE";"3";"7";"7";3;17;4,54015116318262;4,76190476190476;6,93877551020408;5,50469461233526;17,2053748844441;5,73512496148137
"Vochysia spp. ";"LAGUNO";;"4";"5";2;9;2,17009439568268;3,17460317460317;3,6734693877551;2,6311253742044;9,47919793656267;3,15973264552089
"Zanthoxylum riedelianum";"AZAFRAN";;;"1";1;1;0,0804247719081013;1,58730158730159;0,408163265306122;0,0975108080565489;2,09297566066426;0,697658553554753
