"ESTADISTICOS";"AREA BASAL";"VOLUMEN";"NUMERO DE ARBOLES"
"ASIMETRIA";"-0.651730912105529";"-0.511370291023309";"-0.741935483870968"
"CURTOLISIS";"0.666666666666667";"0.666666666666667";"0.666666666666667"
"CV";"44.0290175165907";"43.4626916404559";"41.2951505957281"
"DESV_EST";"12.1047220702485";"144.498107108283";"33.7243729865113"
"ERROR_PORCENTAJE";"25.4201651153584";"25.0931967183229";"23.8417663126698"
"ERROR_TIPICO";"6.98866454572355";"83.4260210363585";"19.4707758220136"
"INTER_NEGATIV";"11.0457333095853";"136.132951969814";"35.8448547999163"
"INTER_POSITIV";"43.9394685095887";"528.796446805762";"127.488478533417"
"MARGEN_ERR";"16.4468676000017";"196.331747417974";"45.8218118667504"
"MAXIMO";"36.3606362915767";"447.426391861923";"105"
"MEDIANA";"32.415011904036";"379.709971695659";"97"
"MINIMO";"13.7021545331484";"170.257734605781";"43"
"MODA";"NO MODA";"NO MODA";"NO MODA"
"PROMEDIO";"27.492600909587";"332.464699387788";"81.6666666666667"
"RANGO";"22.6584817584282";"277.168657256142";"62"
"SUMA";"82.4778027287611";"997.394098163363";"245"
"VARIANZA";"146.52429639796";"20879.7029578768";"1137.33333333333"
